symptoms,department,recommended_tests
Abnormal Bleeding,Oncology,"Coagulation Studies, Imaging Tests"
Memory Loss,"Neurology
","MRI, Neuropsychological Testing"
Numbness or Tingling,"Neurology
","Nerve Conduction Study, MRI"
Slurred Speech,"Neurology
","Brain Imaging, Speech Therapy Evaluation"
Dizziness,"Neurology
","Vestibular Function Tests, MRI"
Tremors,"Neurology
","MRI, Dopamine Transporter Scan"
Loss of Coordination,"Neurology
","Cerebellar Testing, MRI"
Weakness in Limbs,"Neurology
","EMG, Spinal Imaging"
Seizures,"Neurology
","EEG, Brain MRI"
Vision Problems,"Neurology
","Visual Evoked Potential (VEP), MRI"
Chronic Migraines,"Neurology
","Brain CT, Neurological Assessment"
Uncontrolled Movements,"Neurology
","PET Scan, Genetic Testing"
Difficulty Concentrating,"Neurology
","Neuropsychological Evaluation, Brain MRI"
Paralysis,"Neurology
","MRI, Spinal Tap"
Sleep Disturbances,"Neurology
","Polysomnography, EEG"
Tingling in Face,"Neurology
","MRI, Nerve Testing"
High Blood Pressure,Cardiology,"Ambulatory Blood Pressure Monitoring, ECG"
Palpitations,Cardiology,"Holter Monitoring, Echocardiography"
Shortness of Breath,Cardiology,"Pulmonary Function Test, Stress Test"
Chest Tightness,Cardiology,"ECG, Coronary Angiogram"
Swollen Ankles,Cardiology,"Echocardiogram, BNP Test"
Dizziness upon Standing,Cardiology,"Tilt Table Test, Blood Pressure Monitoring"
Fainting (Syncope),Cardiology,"ECG, Electrophysiological Study"
Irregular Heartbeat,Cardiology,"Holter Monitor, Event Recorder"
Heart Murmurs,Cardiology,"Echocardiogram, Doppler Ultrasound"
Cold Extremities,Cardiology,"Ankle-Brachial Index Test, Doppler Scan"
Cyanosis,Cardiology,"Oxygen Saturation Test, Chest CT"
Fatigue during Exercise,Cardiology,"Exercise Stress Test, VO2 Max Test"
Persistent Cough (Heart-Related),Cardiology,"Chest X-Ray, Cardiac MRI"
High Cholesterol Symptoms,Cardiology,"Lipid Profile, Coronary Calcium Score"
Unexplained Sweating,Cardiology,"Cardiac Enzymes Test, ECG"
Chronic Knee Pain,Orthopedics,"MRI, Arthroscopy"
Shoulder Instability,Orthopedics,"Ultrasound, Joint Stress Tests"
Hip Pain,Orthopedics,"X-Ray, CT Scan"
Osteoporosis,Orthopedics,"Bone Density Test (DEXA Scan), Blood Calcium Test"
Spinal Stiffness,Orthopedics,"Spinal MRI, X-Ray"
Scoliosis,Orthopedics,"Spinal X-Ray, Cobb Angle Measurement"
Carpal Tunnel Syndrome,Orthopedics,"Nerve Conduction Study, Phalen�s Test"
Sciatica,Orthopedics,"MRI, Nerve Root Block Test"
Limb Deformities,Orthopedics,"X-Ray, 3D CT Scans"
Flat Feet (Pes Planus),Orthopedics,"Foot X-Ray, Gait Analysis"
Bursitis,Orthopedics,"Ultrasound, Fluid Aspiration Test"
Chronic Joint Swelling,Orthopedics,"Synovial Fluid Analysis, MRI"
Tendonitis,Orthopedics,"Ultrasound, MRI"
Frozen Shoulder,Orthopedics,"X-Ray, Arthrography"
Arthritis (Osteo/Rheumatoid),Orthopedics,"Rheumatoid Factor, Joint X-Ray"
